,2015-03-15 06:00:00,2015-03-15 09:00:00,2015-03-15 12:00:00,2015-03-15 15:00:00,2015-03-15 18:00:00,2015-03-15 21:00:00,2015-03-16 00:00:00,2015-03-16 03:00:00,2015-03-16 06:00:00
DWPC,3.18,2.49,0.63,2.82,3.97,5.08,5.78,5.43,5.4
HCLD,53.0,0.0,0.0,0.0,6.0,14.0,34.0,34.0,64.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,996.3,997.5,998.2,999.6,998.6,996.2,994.3,994.2,993.4
TMPC,6.34,4.34,1.94,8.14,13.84,15.94,12.14,10.64,9.84
UWND,1.6,-0.6,-1.0,0.5,3.8,5.4,3.3,5.3,6.5
VWND,-3.0,-2.5,-0.3,1.2,2.6,3.3,4.3,3.6,3.2
WSPD,3.4,2.570992026436488,1.044030650891055,1.3,4.604345773288535,6.328506932918696,5.420332093147061,6.407027391856539,7.244998274671983
