,2013-11-12 12:00:00,2013-11-12 15:00:00,2013-11-12 18:00:00,2013-11-12 21:00:00,2013-11-13 00:00:00,2013-11-13 03:00:00,2013-11-13 06:00:00,2013-11-13 09:00:00,2013-11-13 12:00:00,2013-11-13 15:00:00,2013-11-13 18:00:00,2013-11-13 21:00:00,2013-11-14 00:00:00,2013-11-14 03:00:00,2013-11-14 06:00:00,2013-11-14 09:00:00,2013-11-14 12:00:00,2013-11-14 15:00:00,2013-11-14 18:00:00,2013-11-14 21:00:00,2013-11-15 00:00:00,2013-11-15 03:00:00,2013-11-15 06:00:00,2013-11-15 09:00:00,2013-11-15 12:00:00,2013-11-15 15:00:00,2013-11-15 18:00:00,2013-11-15 21:00:00,2013-11-16 00:00:00,2013-11-16 03:00:00,2013-11-16 06:00:00,2013-11-16 09:00:00,2013-11-16 12:00:00,2013-11-16 15:00:00,2013-11-16 18:00:00,2013-11-16 21:00:00,2013-11-17 00:00:00,2013-11-17 03:00:00,2013-11-17 06:00:00,2013-11-17 09:00:00,2013-11-17 12:00:00,2013-11-17 15:00:00,2013-11-17 18:00:00,2013-11-17 21:00:00,2013-11-18 00:00:00,2013-11-18 03:00:00,2013-11-18 06:00:00,2013-11-18 09:00:00,2013-11-18 12:00:00,2013-11-18 15:00:00,2013-11-18 18:00:00,2013-11-18 21:00:00,2013-11-19 00:00:00,2013-11-19 03:00:00,2013-11-19 06:00:00,2013-11-19 09:00:00,2013-11-19 12:00:00,2013-11-19 15:00:00,2013-11-19 18:00:00,2013-11-19 21:00:00,2013-11-20 00:00:00
DWPC,-10.22,-10.43,-10.95,-11.27,-9.45,-8.98,-9.05,-9.39,-9.74,-11.22,-12.46,-11.14,-9.3,-8.6,-8.49,-8.25,-8.08,-8.2,-6.77,-4.02,-2.74,-2.53,-2.41,-2.5,-2.66,-2.02,-0.84,0.15,1.74,4.72,6.27,7.64,8.4,10.44,11.97,13.97,14.43,14.53,15.1,15.19,15.01,16.08,16.55,16.9,16.81,17.07,17.12,16.69,15.74,15.05,10.85,6.16,3.66,2.21,-0.41,-2.94,-5.48,-7.76,-8.55,-8.92,-8.0
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,48.0,82.0,93.0,91.0,89.0,35.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,5.0,2.0,90.0,98.0,98.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,91.0,99.0,93.0,91.0,51.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,93.0,71.0,85.0,82.0,98.0,70.0,92.0,78.0,94.0,69.0,19.0,71.0,87.0,97.0,63.0,66.0,68.0,42.0,16.0,0.0,66.0,66.0,58.0,49.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.0,7.0,0.0,2.0,22.0,0.0,0.0,34.0,62.0,64.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,93.0,66.0,78.0,97.0,99.0,100.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.58,0.27,0.22,2.26,1.06,0.13,2.24,5.94,7.31,5.76,1.26,0.15,0.11,0.15,0.06,0.04,4.46,10.29,0.43,0.53,0.14,1.45,2.12,1.26,0.01,0.0,0.0,0.0,0.0,0.0,0.0
PRES,1008.8,1009.5,1009.9,1008.5,1008.8,1009.2,1008.7,1008.0,1007.3,1006.5,1003.9,1000.6,999.5,998.0,996.9,995.6,994.7,994.7,992.2,990.2,990.1,990.1,989.5,989.5,989.7,991.1,989.9,988.5,988.6,988.8,988.2,987.7,987.0,987.3,985.9,984.1,984.4,982.9,982.1,981.9,981.8,982.5,981.6,980.8,981.2,980.6,979.4,978.5,978.7,979.8,981.3,983.9,986.3,988.8,991.5,993.9,997.3,1000.9,1002.0,1003.3,1005.9
TMPC,-3.76,-2.16,0.94,0.84,-2.66,-3.46,-4.16,-4.76,-5.06,-1.56,3.34,4.14,-0.86,-1.26,-1.66,-2.36,-2.76,1.54,7.04,7.84,4.04,3.24,2.04,1.14,0.04,3.74,8.84,10.04,5.94,7.24,7.64,8.54,9.24,11.64,12.84,15.84,15.34,15.44,16.04,16.14,15.94,17.54,18.64,18.44,17.74,18.04,18.14,18.14,17.04,17.54,13.94,9.34,7.14,5.84,2.74,-0.26,-1.86,-0.76,1.24,1.14,-1.36
UWND,1.6,1.5,1.8,2.4,1.8,1.9,2.0,2.6,2.4,2.7,3.4,2.8,2.1,2.2,2.7,2.8,2.5,3.5,3.4,2.2,2.0,2.2,2.2,2.3,1.8,1.4,1.2,0.2,-0.9,-0.8,-0.5,-0.2,-1.3,0.0,0.1,-0.7,-0.3,-0.5,1.6,2.4,2.1,1.6,2.1,1.4,1.1,1.2,2.7,3.4,2.9,5.3,4.5,4.3,2.2,1.7,2.4,3.1,2.9,2.3,2.0,1.4,0.7
VWND,-6.1,-4.6,-4.4,-4.1,-2.5,-1.9,-1.1,0.4,1.6,2.8,4.3,4.7,4.9,5.4,5.2,4.7,5.0,6.1,6.4,5.7,5.3,5.5,4.9,4.3,3.6,4.5,4.4,5.1,4.5,5.1,5.2,5.0,5.7,6.7,5.5,6.4,6.5,7.7,8.1,7.3,6.3,6.8,7.4,6.6,6.5,7.0,6.4,4.4,3.8,0.0,-5.0,-5.7,-8.0,-7.6,-6.4,-5.9,-5.7,-6.3,-6.4,-5.8,-3.8
WSPD,6.3063460101710245,4.838388161361178,4.753945729601885,4.750789408087881,3.0805843601498726,2.6870057685088806,2.2825424421026654,2.6305892875931813,2.8844410203711917,3.8897300677553446,5.481788029466298,5.470831746635972,5.331041174104736,5.830951894845301,5.8591808301161015,5.470831746635972,5.5901699437494745,7.032780389006897,7.247068372797377,6.109828148156051,5.664803615307419,5.923681287847955,5.371219600798314,4.876474136094643,4.024922359499622,4.712748667179271,4.560701700396552,5.103920062069938,4.589117562233506,5.162363799656123,5.223983154643591,5.0039984012787215,5.846366392897386,6.7,5.500909015790027,6.438167441127949,6.5069193939989765,7.716216689544171,8.256512580987206,7.684399781375251,6.640783086353596,6.985699678629192,7.692203845452875,6.7468511173731995,6.592419889539804,7.102112361825881,6.946221994724903,5.5605755097831375,4.780167361086848,5.3,6.726812023536855,7.1400280111495364,8.296987405076615,7.787810988975015,6.835202996254026,6.664833081180653,6.395310782127793,6.706713054842886,6.705221845696085,5.966573556070519,3.8639358172723313
