,2013-08-03 06:00:00,2013-08-03 09:00:00,2013-08-03 12:00:00,2013-08-03 15:00:00,2013-08-03 18:00:00,2013-08-03 21:00:00,2013-08-04 00:00:00,2013-08-04 03:00:00,2013-08-04 06:00:00
DWPC,17.71,17.12,17.96,21.26,22.64,20.92,20.01,16.68,12.92
HCLD,52.0,30.0,0.0,24.0,6.0,25.0,11.0,8.0,2.0
LCLD,4.0,37.0,25.0,29.0,35.0,1.0,-9999.0,0.0,0.0
MCLD,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.58,1.85,0.65,1.01,0.01,0.0,0.0
PRES,987.5,987.5,988.3,988.7,989.0,988.2,989.3,991.6,992.2
TMPC,18.24,17.74,18.64,22.24,25.44,26.04,22.94,17.34,14.24
UWND,1.7,1.2,0.8,-0.3,0.2,-0.6,-1.1,-2.1,-2.0
VWND,1.5,1.1,-0.5,-0.6,-2.4,-3.5,-2.8,-1.9,-1.1
WSPD,2.2671568097509267,1.6278820596099708,0.9433981132056605,0.6708203932499369,2.4083189157584592,3.5510561809129406,3.0083217912982647,2.831960451701259,2.2825424421026654
