,2019-07-01 06:00:00,2019-07-01 09:00:00,2019-07-01 12:00:00,2019-07-01 15:00:00,2019-07-01 18:00:00,2019-07-01 21:00:00,2019-07-02 00:00:00,2019-07-02 03:00:00,2019-07-02 06:00:00
DWPC,22.08,21.36,21.24,22.8,24.38,24.68,24.83,22.34,21.77
HCLD,100.0,68.0,84.0,59.0,40.0,84.0,69.0,0.0,50.0
LCLD,2.0,2.0,25.0,5.0,3.0,49.0,24.0,0.0,0.0
MCLD,81.0,100.0,100.0,100.0,78.0,0.0,24.0,0.0,0.0
PRCP,0.0,3.5700000000000003,0.01,0.0,0.01,0.33999999999999997,1.15,0.4,0.08
PRES,988.3,989.5,988.0,989.5,988.8,987.2,987.2,987.7,986.9
TMPC,23.14,22.04,22.44,24.34,29.24,30.14,27.54,23.94,23.24
UWND,0.2,-1.5,-0.8,2.9,4.2,4.8,2.6,1.2,2.2
VWND,2.3,-0.9,4.9,1.6,1.2,0.8,1.3,1.3,1.1
WSPD,2.308679276123039,1.7492855684535902,4.964876634922565,3.312099032335839,4.368065933568311,4.866210024238575,2.906888370749727,1.7691806012954132,2.459674775249769
