,2014-11-17 06:00:00,2014-11-17 09:00:00,2014-11-17 12:00:00,2014-11-17 15:00:00,2014-11-17 18:00:00,2014-11-17 21:00:00,2014-11-18 00:00:00,2014-11-18 03:00:00,2014-11-18 06:00:00
DWPC,-3.01,-7.16,-9.84,-9.16,-11.88,-13.02,-14.83,-14.52,-14.33
HCLD,91.0,60.0,98.0,29.0,-9999.0,0.0,0.0,0.0,0.0
LCLD,74.0,4.0,0.0,27.0,93.0,98.0,88.0,32.0,0.0
MCLD,83.0,100.0,98.0,4.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.05,0.15,0.14,0.04,0.0,0.0
PRES,985.5,983.7,983.9,984.4,985.2,986.2,988.5,989.9,990.0
TMPC,-2.26,-3.86,-5.26,-4.86,-4.56,-5.16,-7.16,-8.06,-8.66
UWND,3.3,3.3,4.2,5.5,7.3,7.9,6.3,5.8,6.6
VWND,-0.9,-1.5,-0.9,-2.5,-2.8,-2.1,-1.3,-1.0,0.3
WSPD,3.420526275297414,3.6249137920783716,4.295346318982906,6.041522986797286,7.818567643756751,8.174350127074323,6.432728814430155,5.885575587824865,6.606814663663572
