,2013-01-08 06:00:00,2013-01-08 09:00:00,2013-01-08 12:00:00,2013-01-08 15:00:00,2013-01-08 18:00:00,2013-01-08 21:00:00,2013-01-09 00:00:00,2013-01-09 03:00:00,2013-01-09 06:00:00
DWPC,-5.06,-5.41,-5.83,-4.81,-2.14,-0.72,-1.87,-1.83,-1.59
HCLD,75.0,73.0,93.0,99.0,99.0,51.0,-9999.0,0.0,2.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,994.3,994.4,994.4,995.0,994.6,993.0,993.8,993.7,993.8
TMPC,-3.96,-4.16,-4.46,-3.16,0.44,1.04,-1.06,-0.66,-0.06
UWND,1.9,1.6,1.3,0.6,1.3,0.5,1.0,2.8,3.9
VWND,3.8,4.0,4.0,4.5,5.4,5.2,5.9,4.9,4.5
WSPD,4.2485291572496005,4.308131845707604,4.205948168962618,4.539823785126467,5.554277630799527,5.223983154643591,5.984145720150872,5.643580423808985,5.954829972383762
