,2016-03-25 06:00:00,2016-03-25 09:00:00,2016-03-25 12:00:00,2016-03-25 15:00:00,2016-03-25 18:00:00,2016-03-25 21:00:00,2016-03-26 00:00:00,2016-03-26 03:00:00,2016-03-26 06:00:00
DWPC,-1.26,-2.34,-2.64,-1.8,-1.21,-0.84,1.22,1.2,1.94
HCLD,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,38.0
LCLD,100.0,99.0,57.0,63.0,1.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,984.2,986.0,988.3,990.1,990.4,989.5,989.8,991.3,991.2
TMPC,2.34,1.44,0.84,3.14,6.84,9.24,7.94,6.14,4.84
UWND,1.8,0.9,-0.8,-2.0,-2.0,-1.2,-2.2,-3.3,-3.0
VWND,-7.6,-6.1,-4.6,-3.1,-0.6,0.3,0.4,0.9,2.7
WSPD,7.810249675906654,6.166036003787198,4.6690470119715,3.6891733491393435,2.08806130178211,1.2369316876852983,2.23606797749979,3.420526275297414,4.036087214122113
