,2019-07-08 12:00:00,2019-07-08 15:00:00,2019-07-08 18:00:00,2019-07-08 21:00:00,2019-07-09 00:00:00,2019-07-09 03:00:00,2019-07-09 06:00:00,2019-07-09 09:00:00,2019-07-09 12:00:00,2019-07-09 15:00:00,2019-07-09 18:00:00,2019-07-09 21:00:00,2019-07-10 00:00:00,2019-07-10 03:00:00,2019-07-10 06:00:00,2019-07-10 09:00:00,2019-07-10 12:00:00,2019-07-10 15:00:00,2019-07-10 18:00:00,2019-07-10 21:00:00,2019-07-11 00:00:00,2019-07-11 03:00:00,2019-07-11 06:00:00,2019-07-11 09:00:00,2019-07-11 12:00:00,2019-07-11 15:00:00,2019-07-11 18:00:00,2019-07-11 21:00:00,2019-07-12 00:00:00,2019-07-12 03:00:00,2019-07-12 06:00:00,2019-07-12 09:00:00,2019-07-12 12:00:00,2019-07-12 15:00:00,2019-07-12 18:00:00,2019-07-12 21:00:00,2019-07-13 00:00:00,2019-07-13 03:00:00,2019-07-13 06:00:00,2019-07-13 09:00:00,2019-07-13 12:00:00,2019-07-13 15:00:00,2019-07-13 18:00:00,2019-07-13 21:00:00,2019-07-14 00:00:00,2019-07-14 03:00:00,2019-07-14 06:00:00,2019-07-14 09:00:00,2019-07-14 12:00:00,2019-07-14 15:00:00,2019-07-14 18:00:00,2019-07-14 21:00:00,2019-07-15 00:00:00,2019-07-15 03:00:00,2019-07-15 06:00:00,2019-07-15 09:00:00,2019-07-15 12:00:00,2019-07-15 15:00:00,2019-07-15 18:00:00,2019-07-15 21:00:00,2019-07-16 00:00:00
DWPC,18.08,21.14,21.53,21.85,21.73,16.93,15.07,13.86,15.58,20.22,21.13,21.92,22.2,18.73,17.86,18.21,20.22,23.39,24.07,25.05,25.45,23.69,19.79,17.22,17.58,19.73,20.19,20.63,19.72,17.61,17.12,15.4,15.95,17.9,18.6,19.15,20.04,16.65,15.99,16.15,18.02,19.84,20.43,22.12,23.37,20.32,19.3,18.39,19.22,22.12,23.36,24.6,25.22,22.37,20.89,19.6,20.92,23.41,25.05,25.37,25.35
HCLD,100.0,86.0,43.0,0.0,0.0,49.0,39.0,0.0,17.0,4.0,38.0,100.0,67.0,100.0,100.0,63.0,31.0,2.0,51.0,100.0,84.0,84.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,0.0,0.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,0.0,2.0,3.0,33.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,48.0,24.0,9.0,11.0,31.0,26.0,0.0,29.0,28.0,14.0,0.0,38.0,100.0,100.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,9.0,0.0,0.0,0.0,0.0,16.0,10.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,84.0,89.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.09,0.34,1.1400000000000001,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,0.03,0.25,0.0,0.0,0.0,0.1,0.51,0.07,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07
PRES,989.5,990.2,989.3,988.7,988.8,989.5,988.7,988.9,989.6,989.7,988.7,987.7,987.7,988.1,987.6,987.4,988.0,988.1,987.2,986.1,985.3,985.2,985.7,985.2,986.2,986.7,986.3,985.8,986.1,987.2,987.0,986.9,987.7,988.6,988.2,987.2,986.7,987.6,987.9,988.1,988.6,989.6,989.3,987.7,987.8,988.6,988.6,988.5,990.0,990.6,990.0,989.1,988.9,989.8,989.5,989.4,990.4,990.5,989.7,988.4,988.1
TMPC,18.54,24.24,26.14,25.44,23.94,19.34,17.14,15.74,17.04,23.24,26.54,27.34,25.74,21.64,20.74,21.44,21.94,26.14,26.74,28.94,27.44,24.64,21.14,18.04,18.44,22.44,24.24,23.34,21.84,18.24,18.04,16.04,16.94,21.34,22.74,23.54,23.14,18.54,17.54,17.04,18.84,23.04,25.74,26.94,26.24,21.94,20.54,19.44,20.24,25.34,28.34,28.94,27.74,23.74,22.14,20.94,22.04,26.54,29.64,29.84,28.24
UWND,-1.9,-3.2,-3.5,-2.4,-2.3,-3.4,-3.3,-2.9,-2.5,-1.9,-2.1,-2.2,-2.0,-2.1,-1.6,-0.7,-0.2,1.8,2.3,2.4,2.6,2.4,2.8,3.0,3.1,3.4,3.5,3.9,1.9,0.7,-0.3,0.1,-0.3,-0.4,-0.2,0.3,0.2,-0.6,0.9,1.4,0.9,1.5,1.7,2.1,1.7,0.8,1.5,1.9,2.5,2.8,2.1,2.7,2.2,1.0,1.5,1.2,0.3,0.8,0.8,1.5,0.4
VWND,-1.6,-0.5,-0.8,-0.7,-0.5,0.1,0.3,0.3,0.4,1.8,1.8,1.5,1.4,1.9,2.2,2.5,2.6,4.2,3.4,3.1,2.3,2.3,-2.5,-1.1,-1.4,-2.8,-4.0,-4.4,-3.9,-3.1,-2.6,-1.7,-1.9,-2.0,-1.4,-1.2,-1.2,0.0,0.6,0.1,0.6,2.1,1.5,2.5,0.3,1.9,2.1,2.0,1.5,0.3,2.0,2.5,1.1,1.1,1.2,1.4,1.8,2.9,3.3,3.7,3.3
WSPD,2.483948469674844,3.23882694814033,3.5902646142032486,2.5,2.3537204591879637,3.4014702703389896,3.313608305156178,2.9154759474226504,2.5317977802344327,2.6172504656604803,2.7658633371878665,2.6627053911388696,2.4413111231467406,2.831960451701259,2.720294101747089,2.596150997149434,2.6076809620810595,4.5694638635183455,4.104875150354758,3.920459156782532,3.4713109915419564,3.324154027718932,3.753664875824692,3.1953090617340916,3.4014702703389896,4.404543109109048,5.315072906367325,5.87962583843564,4.338202392696772,3.178049716414141,2.6172504656604803,1.70293863659264,1.9235384061671343,2.039607805437114,1.414213562373095,1.2369316876852983,1.2165525060596438,0.6,1.0816653826391966,1.40356688476182,1.0816653826391966,2.5806975801127883,2.2671568097509267,3.2649655434629015,1.7262676501632068,2.0615528128088303,2.5806975801127883,2.758622844826744,2.9154759474226504,2.8160255680657444,2.9,3.67967389859482,2.459674775249769,1.4866068747318506,1.9209372712298547,1.8439088914585773,1.8248287590894658,3.0083217912982647,3.395585369269929,3.992492955535426,3.324154027718932
