,2017-04-06 06:00:00,2017-04-06 09:00:00,2017-04-06 12:00:00,2017-04-06 15:00:00,2017-04-06 18:00:00,2017-04-06 21:00:00,2017-04-07 00:00:00,2017-04-07 03:00:00,2017-04-07 06:00:00
DWPC,2.63,2.72,1.92,2.02,1.65,1.67,1.72,0.99,0.29
HCLD,100.0,100.0,46.0,0.0,0.0,0.0,0.0,26.0,28.0
LCLD,100.0,97.0,99.0,100.0,100.0,100.0,100.0,93.0,31.0
MCLD,100.0,48.0,16.0,87.0,67.0,4.0,0.0,0.0,0.0
PRCP,0.0,0.2,0.33,0.22,0.18,0.18,0.06,0.0,0.0
PRES,974.2,976.0,979.1,982.0,984.3,985.5,986.7,987.6,988.6
TMPC,4.44,4.64,4.24,4.74,4.84,4.94,4.84,4.34,2.24
UWND,2.2,4.0,4.6,5.9,6.2,5.6,5.3,5.4,1.9
VWND,-9.8,-8.7,-9.1,-8.9,-7.5,-6.9,-5.2,-4.8,-4.4
WSPD,10.043903623591778,9.575489543621254,10.196568050084302,10.67801479676817,9.730878685915265,8.886506625215558,7.424957912338629,7.224956747275377,4.792702786528704
