,2014-05-14 06:00:00,2014-05-14 09:00:00,2014-05-14 12:00:00,2014-05-14 15:00:00,2014-05-14 18:00:00,2014-05-14 21:00:00,2014-05-15 00:00:00,2014-05-15 03:00:00,2014-05-15 06:00:00
DWPC,9.84,8.69,7.81,7.52,8.05,8.72,8.11,6.76,6.52
HCLD,87.0,99.0,101.0,100.0,86.0,1.0,1.0,27.0,1.0
LCLD,0.0,1.0,1.0,1.0,47.0,98.0,100.0,98.0,100.0
MCLD,84.0,100.0,98.0,46.0,64.0,99.0,101.0,68.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.98,2.62,3.23,2.01,0.42
PRES,993.3,993.3,993.4,992.9,991.9,989.8,990.0,990.0,989.5
TMPC,11.04,10.04,9.84,11.84,11.64,10.64,9.54,8.14,7.84
UWND,1.0,0.7,-0.1,-1.6,-0.9,-0.6,0.6,1.6,1.7
VWND,-2.8,-3.1,-3.8,-4.1,-3.8,-4.2,-4.8,-4.1,-3.8
WSPD,2.973213749463701,3.178049716414141,3.8013155617496426,4.401136216933077,3.905124837953327,4.242640687119285,4.8373546489791295,4.401136216933077,4.162931659299729
