,2017-04-15 06:00:00,2017-04-15 09:00:00,2017-04-15 12:00:00,2017-04-15 15:00:00,2017-04-15 18:00:00,2017-04-15 21:00:00,2017-04-16 00:00:00,2017-04-16 03:00:00,2017-04-16 06:00:00
DWPC,15.57,15.01,14.86,14.9,14.48,15.06,15.46,13.59,14.5
HCLD,92.0,94.0,92.0,52.0,0.0,0.0,10.0,51.0,59.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,54.0,62.0,96.0,33.0,1.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.06,0.0,0.0,0.0,0.04,0.02,0.0,0.21
PRES,992.2,991.5,991.3,992.1,990.7,988.7,987.8,988.3,988.2
TMPC,17.14,16.74,16.54,21.34,23.84,23.84,20.24,18.34,17.24
UWND,0.0,1.8,1.6,5.4,5.7,4.7,1.6,2.6,4.5
VWND,3.6,4.5,4.9,6.3,7.2,7.2,5.4,7.1,5.7
WSPD,3.6,4.846648326421054,5.15460958754395,8.297590011563598,9.183136719008381,8.598255637046389,5.63205113613149,7.561084578286372,7.262231062146123
