,2015-03-01 06:00:00,2015-03-01 09:00:00,2015-03-01 12:00:00,2015-03-01 15:00:00,2015-03-01 18:00:00,2015-03-01 21:00:00,2015-03-02 00:00:00,2015-03-02 03:00:00,2015-03-02 06:00:00
DWPC,-7.67,-6.54,-6.11,-4.82,-3.97,-3.22,-4.4,-6.59,-10.58
HCLD,90.0,71.0,79.0,85.0,73.0,60.0,44.0,44.0,14.0
LCLD,100.0,100.0,100.0,100.0,98.0,94.0,66.0,59.0,1.0
MCLD,98.0,100.0,100.0,95.0,99.0,96.0,98.0,67.0,7.0
PRCP,0.0,2.23,1.14,0.97,2.48,1.43,0.3,0.01,0.0
PRES,1003.1,1001.7,1001.0,1001.7,1000.8,999.5,1000.2,1002.2,1003.5
TMPC,-7.16,-6.16,-5.66,-4.16,-3.06,-2.26,-3.66,-5.66,-9.26
UWND,-1.7,-0.6,0.1,0.7,0.6,3.2,3.1,3.8,3.9
VWND,0.3,0.4,-0.2,-0.9,-0.6,-0.3,-0.9,-1.3,-1.6
WSPD,1.7262676501632068,0.7211102550927979,0.223606797749979,1.140175425099138,0.848528137423857,3.2140317359976396,3.228002478313795,4.016217125604641,4.215447781671599
