,2011-04-13 06:00:00,2011-04-13 09:00:00,2011-04-13 12:00:00,2011-04-13 15:00:00,2011-04-13 18:00:00,2011-04-13 21:00:00,2011-04-14 00:00:00,2011-04-14 03:00:00,2011-04-14 06:00:00
DWPC,2.43,1.84,1.69,4.32,4.26,4.22,5.44,4.1,4.77
HCLD,30.0,97.0,73.0,41.0,17.0,15.0,-9999.0,12.0,64.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,23.0,37.0,2.0,0.0,0.0,28.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,991.7,991.2,991.5,992.3,991.6,989.4,989.4,990.3,990.3
TMPC,5.34,5.24,4.94,12.14,17.74,18.54,13.44,10.74,9.54
UWND,-1.6,-0.6,-0.9,-0.8,-0.3,0.1,-0.9,-1.5,-1.0
VWND,-1.0,-0.8,-0.7,0.4,0.3,0.6,0.8,1.6,2.0
WSPD,1.886796226411321,1.0,1.140175425099138,0.894427190999916,0.4242640687119285,0.6082762530298219,1.2041594578792296,2.193171219946131,2.23606797749979
