,2016-11-06 06:00:00,2016-11-06 09:00:00,2016-11-06 12:00:00,2016-11-06 15:00:00,2016-11-06 18:00:00,2016-11-06 21:00:00,2016-11-07 00:00:00,2016-11-07 03:00:00,2016-11-07 06:00:00
DWPC,3.38,3.03,2.62,2.95,3.61,4.44,4.49,4.6,3.9
HCLD,47.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,1000.1,1000.0,1000.5,1001.0,1000.2,998.6,998.9,999.2,999.1
TMPC,9.94,9.14,7.74,14.14,17.94,17.94,12.54,11.14,9.74
UWND,1.6,1.5,0.5,-0.7,-1.5,-1.7,-1.7,-2.1,-1.8
VWND,1.1,0.9,0.6,1.6,2.3,2.5,2.1,2.0,2.3
WSPD,1.94164878389476,1.7492855684535902,0.7810249675906654,1.746424919657298,2.745906043549196,3.023243291566195,2.701851217221259,2.9,2.9206163733020465
