,2019-03-29 06:00:00,2019-03-29 09:00:00,2019-03-29 12:00:00,2019-03-29 15:00:00,2019-03-29 18:00:00,2019-03-29 21:00:00,2019-03-30 00:00:00,2019-03-30 03:00:00,2019-03-30 06:00:00
DWPC,11.48,11.49,10.41,8.26,8.97,8.12,7.37,7.84,5.23
HCLD,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LCLD,81.0,87.0,93.0,100.0,98.0,100.0,100.0,100.0,100.0
MCLD,100.0,100.0,50.0,1.0,24.0,29.0,57.0,61.0,48.0
PRCP,0.0,4.56,0.5800000000000001,0.12,0.2,1.21,1.57,1.76,2.98
PRES,990.6,989.0,988.9,989.3,988.4,987.0,985.4,985.3,983.3
TMPC,12.84,12.54,11.34,10.24,11.44,9.84,8.74,8.64,6.54
UWND,3.3,1.3,0.2,-2.2,-2.7,-2.6,-4.2,0.1,-3.1
VWND,3.5,3.5,-1.6,-3.2,-1.6,-4.1,-1.1,-4.4,-3.6
WSPD,4.810405388322278,3.7336309405188937,1.61245154965971,3.88329756778952,3.1384709652950433,4.854894437575342,4.341658669218482,4.401136216933078,4.750789408087881
