,2016-07-20 06:00:00,2016-07-20 09:00:00,2016-07-20 12:00:00,2016-07-20 15:00:00,2016-07-20 18:00:00,2016-07-20 21:00:00,2016-07-21 00:00:00,2016-07-21 03:00:00,2016-07-21 06:00:00
DWPC,20.89,21.45,22.13,24.52,24.42,23.97,24.62,22.35,21.55
HCLD,100.0,99.0,45.0,0.0,82.0,100.0,92.0,76.0,10.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,14.0,42.0,27.0,91.0,40.0,18.0,0.0,0.0
PRCP,0.0,0.69,0.01,0.06,0.06,0.09,0.01,0.0,0.0
PRES,995.4,995.3,995.3,995.7,996.0,994.4,992.9,993.7,993.2
TMPC,22.24,22.54,22.84,27.04,26.94,28.64,27.44,23.94,22.74
UWND,-1.5,-2.1,-1.7,0.5,0.8,0.8,0.7,-0.9,-1.5
VWND,-0.1,1.1,2.5,3.5,2.3,2.1,2.3,2.6,2.8
WSPD,1.5033296378372907,2.3706539182259396,3.023243291566195,3.5355339059327378,2.435159132377184,2.247220505424423,2.4041630560342613,2.751363298439521,3.176476034853718
