,2015-08-08 12:00:00,2015-08-08 15:00:00,2015-08-08 18:00:00,2015-08-08 21:00:00,2015-08-09 00:00:00,2015-08-09 03:00:00,2015-08-09 06:00:00,2015-08-09 09:00:00,2015-08-09 12:00:00,2015-08-09 15:00:00,2015-08-09 18:00:00,2015-08-09 21:00:00,2015-08-10 00:00:00,2015-08-10 03:00:00,2015-08-10 06:00:00,2015-08-10 09:00:00,2015-08-10 12:00:00,2015-08-10 15:00:00,2015-08-10 18:00:00,2015-08-10 21:00:00,2015-08-11 00:00:00,2015-08-11 03:00:00,2015-08-11 06:00:00,2015-08-11 09:00:00,2015-08-11 12:00:00,2015-08-11 15:00:00,2015-08-11 18:00:00,2015-08-11 21:00:00,2015-08-12 00:00:00,2015-08-12 03:00:00,2015-08-12 06:00:00,2015-08-12 09:00:00,2015-08-12 12:00:00,2015-08-12 15:00:00,2015-08-12 18:00:00,2015-08-12 21:00:00,2015-08-13 00:00:00,2015-08-13 03:00:00,2015-08-13 06:00:00,2015-08-13 09:00:00,2015-08-13 12:00:00,2015-08-13 15:00:00,2015-08-13 18:00:00,2015-08-13 21:00:00,2015-08-14 00:00:00,2015-08-14 03:00:00,2015-08-14 06:00:00,2015-08-14 09:00:00,2015-08-14 12:00:00,2015-08-14 15:00:00,2015-08-14 18:00:00,2015-08-14 21:00:00,2015-08-15 00:00:00,2015-08-15 03:00:00,2015-08-15 06:00:00,2015-08-15 09:00:00,2015-08-15 12:00:00,2015-08-15 15:00:00,2015-08-15 18:00:00,2015-08-15 21:00:00,2015-08-16 00:00:00
DWPC,18.22,20.74,22.39,22.92,24.74,18.93,17.74,18.66,21.36,22.21,22.0,23.67,23.89,22.18,20.93,21.29,22.05,24.28,23.81,23.43,23.66,20.78,18.09,15.65,16.86,18.31,18.4,18.3,18.31,15.47,12.96,12.05,13.83,15.65,17.09,17.83,18.68,15.4,11.76,9.09,12.02,14.98,14.9,14.92,20.76,12.97,11.35,10.46,11.74,15.97,18.78,20.4,21.19,17.98,16.24,15.12,15.26,17.93,18.82,19.53,20.29
HCLD,100.0,100.0,90.0,60.0,2.0,0.0,0.0,79.0,99.0,100.0,100.0,65.0,-9999.0,33.0,1.0,65.0,99.0,33.0,-9999.0,0.0,0.0,33.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,22.0,0.0,14.0,34.0,41.0,-9999.0,0.0,18.0,88.0,78.0,25.0,31.0,21.0,1.0
LCLD,26.0,24.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,33.0,1.0,0.0,0.0,0.0,0.0,1.0,65.0,60.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,28.0,71.0,75.0,23.0,19.0,64.0,86.0,92.0,42.0,0.0,20.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.27,0.28,0.06,0.0,0.0,0.0,0.58,1.68,5.58,15.51,1.3,0.0,1.76,3.29,0.0,0.0,0.01,0.08,0.05,0.03,0.0,0.77,0.28,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.61,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,986.8,986.8,986.6,985.3,985.6,987.1,987.3,986.3,986.9,987.5,986.4,984.6,983.8,983.3,982.5,981.5,982.1,983.8,984.5,983.9,984.0,985.1,985.6,986.6,988.3,990.2,990.6,989.8,989.9,991.7,992.2,992.3,993.2,994.3,993.5,992.3,992.5,993.5,993.4,993.0,993.7,994.3,993.5,992.4,991.5,991.8,991.3,991.1,992.0,992.1,991.2,989.7,989.3,990.0,989.6,989.5,990.8,991.7,991.0,989.6,989.5
TMPC,20.54,23.94,28.44,29.44,28.94,21.64,22.04,20.94,22.54,24.14,23.04,26.94,27.04,23.54,22.14,22.34,22.94,26.54,27.84,28.54,26.84,22.64,19.94,17.94,18.04,22.94,26.04,26.04,22.94,17.54,14.94,14.04,16.14,21.44,24.14,24.64,22.54,17.64,14.84,11.54,14.94,21.54,24.94,26.04,24.64,18.54,16.94,15.94,16.14,22.44,26.74,28.04,25.64,21.34,19.84,18.94,18.94,24.54,28.14,29.04,25.74
UWND,1.7,1.9,2.7,1.5,1.0,-0.5,-2.1,-2.0,-0.2,1.1,-0.2,0.7,0.3,-2.0,-1.2,1.7,4.4,1.9,1.9,2.3,1.4,0.3,-2.7,-1.9,-1.0,-2.5,-1.1,-0.2,-0.9,-2.5,-1.8,-0.6,-1.4,-1.0,0.6,0.1,-1.8,-3.6,-2.6,-0.6,0.1,0.8,0.7,0.2,-0.1,-0.2,0.9,1.7,2.8,3.4,4.1,3.9,2.1,1.9,2.4,2.7,3.0,3.6,2.8,2.6,1.7
VWND,1.3,2.7,0.4,-0.3,-0.1,-1.7,-1.4,0.4,0.8,0.8,5.8,6.9,4.2,3.7,3.9,2.6,-2.4,-4.8,-3.2,-3.2,-2.4,-1.8,-2.0,-2.9,-3.7,-4.3,-4.8,-6.1,-3.6,-1.6,-1.3,-1.8,-1.6,-1.1,-1.7,-2.8,-1.8,-1.5,0.4,0.5,0.3,0.5,0.3,-0.4,0.7,3.8,3.7,3.0,1.5,2.6,2.1,1.2,2.2,3.5,3.3,2.2,1.3,0.8,2.3,2.4,1.9
WSPD,2.1400934559032696,3.3015148038438356,2.7294688127912363,1.5297058540778354,1.004987562112089,1.772004514666935,2.5238858928247927,2.039607805437114,0.8246211251235323,1.3601470508735445,5.803447251418763,6.935416353759881,4.21070065428546,4.205948168962618,4.080441152620633,3.1064449134018135,5.011985634456668,5.162363799656123,3.721558813185679,3.9408120990476063,2.778488797889961,1.8248287590894658,3.3600595232822887,3.4669871646719432,3.83275357934736,4.973932046178355,4.924428900898052,6.103277807866851,3.710795063055895,2.968164415931166,2.220360331117452,1.8973665961010275,2.12602916254693,1.4866068747318506,1.8027756377319946,2.80178514522438,2.545584412271571,3.9,2.6305892875931813,0.7810249675906654,0.31622776601683794,0.9433981132056605,0.7615773105863908,0.447213595499958,0.7071067811865475,3.8052595180880893,3.8078865529319543,3.448187929913334,3.176476034853718,4.280186911806539,4.606517122512408,4.080441152620633,3.0413812651491097,3.9824615503479754,4.080441152620633,3.4828149534536,3.269556544854363,3.687817782917155,3.6235341863986874,3.5383612025908264,2.5495097567963922
