,2019-12-31 12:00:00,2019-12-31 15:00:00,2019-12-31 18:00:00,2019-12-31 21:00:00,2020-01-01 00:00:00
DWPC,-3.12,-2.85,-3.62,-3.8,-3.65
HCLD,100.0,67.0,33.0,0.0,0.0
LCLD,100.0,100.0,100.0,61.0,43.0
MCLD,76.0,25.0,13.0,0.0,0.0
PRCP,0.0,0.32,0.19,0.01,0.0
PRES,980.6,981.7,982.8,982.5,983.7
TMPC,-1.46,-0.86,0.14,0.84,-0.76
UWND,8.6,8.3,7.7,7.2,5.6
VWND,1.1,-0.4,-0.9,0.1,0.6
WSPD,8.670063436907482,8.309632964216892,7.752418977325723,7.200694410957877,5.632051136131489
