,2012-07-13 12:00:00,2012-07-13 15:00:00,2012-07-13 18:00:00,2012-07-13 21:00:00,2012-07-14 00:00:00,2012-07-14 03:00:00,2012-07-14 06:00:00,2012-07-14 09:00:00,2012-07-14 12:00:00,2012-07-14 15:00:00,2012-07-14 18:00:00,2012-07-14 21:00:00,2012-07-15 00:00:00,2012-07-15 03:00:00,2012-07-15 06:00:00,2012-07-15 09:00:00,2012-07-15 12:00:00,2012-07-15 15:00:00,2012-07-15 18:00:00,2012-07-15 21:00:00,2012-07-16 00:00:00,2012-07-16 03:00:00,2012-07-16 06:00:00,2012-07-16 09:00:00,2012-07-16 12:00:00,2012-07-16 15:00:00,2012-07-16 18:00:00,2012-07-16 21:00:00,2012-07-17 00:00:00,2012-07-17 03:00:00,2012-07-17 06:00:00,2012-07-17 09:00:00,2012-07-17 12:00:00,2012-07-17 15:00:00,2012-07-17 18:00:00,2012-07-17 21:00:00,2012-07-18 00:00:00,2012-07-18 03:00:00,2012-07-18 06:00:00,2012-07-18 09:00:00,2012-07-18 12:00:00,2012-07-18 15:00:00,2012-07-18 18:00:00,2012-07-18 21:00:00,2012-07-19 00:00:00,2012-07-19 03:00:00,2012-07-19 06:00:00,2012-07-19 09:00:00,2012-07-19 12:00:00,2012-07-19 15:00:00,2012-07-19 18:00:00,2012-07-19 21:00:00,2012-07-20 00:00:00,2012-07-20 03:00:00,2012-07-20 06:00:00,2012-07-20 09:00:00,2012-07-20 12:00:00,2012-07-20 15:00:00,2012-07-20 18:00:00,2012-07-20 21:00:00,2012-07-21 00:00:00
DWPC,20.61,23.47,22.51,22.53,23.96,20.73,19.69,18.99,20.69,22.8,22.97,22.9,24.06,20.64,20.53,19.49,20.77,23.6,23.03,23.87,25.91,21.17,20.21,18.27,21.78,23.6,23.83,24.24,25.06,22.13,21.59,21.14,21.83,24.63,24.74,24.79,25.26,23.26,22.19,20.9,21.96,25.23,24.81,25.68,25.93,21.22,22.23,21.82,23.71,25.55,26.62,26.88,25.75,23.37,19.99,20.4,22.26,24.73,24.39,25.07,24.76
HCLD,1.0,1.0,27.0,63.0,45.0,49.0,21.0,37.0,23.0,32.0,14.0,51.0,63.0,49.0,65.0,27.0,43.0,22.0,2.0,2.0,56.0,48.0,8.0,32.0,58.0,63.0,27.0,10.0,10.0,6.0,0.0,10.0,56.0,89.0,71.0,95.0,89.0,80.0,78.0,50.0,48.0,36.0,8.0,38.0,52.0,55.0,53.0,93.0,99.0,88.0,42.0,81.0,97.0,85.0,77.0,83.0,45.0,20.0,36.0,17.0,-9999.0
LCLD,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,47.0,3.0,11.0,53.0,72.0,22.0,53.0,13.0,1.0,1.0,0.0,0.0
PRCP,0.0,0.38,0.36,0.01,0.03,0.0,0.0,0.14,0.0,0.0,0.51,0.05,0.28,0.39,0.52,0.0,0.0,0.0,0.0,0.24,0.27,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.04,0.0,0.0,0.0,0.0,0.25,1.42,0.02,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.15,0.0,4.26,6.2,0.82,0.79,1.48,3.86,0.9,0.0,0.7,0.0,1.45,0.44,0.92,1.4,0.01
PRES,991.2,990.8,991.0,989.1,989.4,989.8,989.8,989.5,990.2,991.2,990.9,989.2,989.3,990.0,990.4,989.5,990.7,991.0,990.7,988.9,988.4,989.3,988.6,988.1,988.8,988.5,987.5,985.7,984.8,985.6,985.2,984.7,984.8,985.2,984.8,983.6,984.1,985.3,985.2,984.9,986.5,986.8,986.1,986.5,986.9,988.0,987.4,987.8,988.4,988.9,988.5,987.6,987.8,988.5,988.4,987.7,988.7,989.3,988.6,988.1,987.7
TMPC,21.14,25.44,28.04,28.14,26.94,21.74,20.24,19.44,21.54,25.64,27.44,28.34,26.64,21.84,21.24,20.04,21.54,26.84,28.74,28.74,28.14,22.54,21.14,18.74,22.74,26.64,28.84,29.64,27.74,23.24,22.44,21.74,22.64,27.04,29.54,29.84,27.34,23.94,23.04,21.84,23.24,28.54,30.84,30.54,28.54,22.24,23.04,22.34,24.54,26.94,30.34,29.64,27.14,24.34,20.54,21.04,23.04,26.84,29.24,28.34,27.24
UWND,-0.2,-1.4,-1.7,-2.1,-0.8,-1.7,-0.9,0.0,0.6,0.0,1.4,1.9,1.1,0.8,0.8,1.6,1.5,0.7,0.5,0.9,0.6,-0.1,0.9,0.8,0.3,0.3,1.1,1.2,1.2,1.2,1.5,1.3,0.6,1.2,2.2,2.8,2.4,1.6,2.1,1.6,1.8,0.9,2.3,2.3,1.9,0.8,1.1,0.1,0.0,-0.7,-0.7,1.2,0.7,-1.5,-0.8,-0.7,-0.7,-1.1,-1.3,-1.7,-1.5
VWND,3.0,1.4,0.6,0.9,0.7,1.4,1.5,1.6,0.6,1.5,1.3,0.4,0.2,1.3,1.9,0.6,-0.1,-0.1,1.3,1.1,-0.2,2.0,1.5,0.8,0.3,2.2,1.5,0.5,1.3,1.5,1.8,1.8,2.0,2.3,2.8,2.4,1.8,1.2,1.5,0.4,0.3,0.3,0.8,0.0,-0.5,0.1,0.2,-0.8,-0.2,-1.6,-0.3,-1.0,-2.1,-1.4,-0.3,-0.7,-1.5,-0.8,-0.2,-0.4,-0.5
WSPD,3.0066592756745814,1.979898987322333,1.8027756377319946,2.2847319317591728,1.063014581273465,2.202271554554524,1.7492855684535902,1.6,0.848528137423857,1.5,1.91049731745428,1.9416487838947598,1.118033988749895,1.5264337522473748,2.0615528128088303,1.7088007490635064,1.5033296378372907,0.7071067811865475,1.392838827718412,1.4212670403551897,0.6324555320336759,2.0024984394500787,1.7492855684535902,1.1313708498984762,0.4242640687119285,2.220360331117452,1.8601075237738274,1.3,1.7691806012954132,1.9209372712298547,2.3430749027719964,2.220360331117452,2.08806130178211,2.5942243542145693,3.560898762952971,3.6878177829171546,3.0,2.0,2.5806975801127883,1.6492422502470645,1.8248287590894658,0.9486832980505138,2.435159132377184,2.3,1.96468827043885,0.806225774829855,1.118033988749895,0.806225774829855,0.2,1.746424919657298,0.7615773105863908,1.5620499351813308,2.2135943621178655,2.0518284528683193,0.8544003745317532,0.9899494936611665,1.6552945357246849,1.3601470508735445,1.3152946437965907,1.746424919657298,1.5811388300841898
