,2016-02-22 06:00:00,2016-02-22 09:00:00,2016-02-22 12:00:00,2016-02-22 15:00:00,2016-02-22 18:00:00,2016-02-22 21:00:00,2016-02-23 00:00:00,2016-02-23 03:00:00,2016-02-23 06:00:00
DWPC,-0.3,-1.67,-2.35,-1.98,-0.38,-0.38,-0.37,-1.38,-2.85
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
LCLD,66.0,1.0,1.0,0.0,8.0,96.0,66.0,1.0,1.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0
PRES,994.0,993.8,994.1,994.5,993.7,991.1,991.5,991.9,991.2
TMPC,1.84,0.04,-0.66,1.74,5.34,5.74,3.24,1.64,0.24
UWND,-1.2,-1.3,-1.4,-3.0,-2.5,-2.1,-2.6,-3.1,-3.3
VWND,-3.5,-3.8,-3.7,-3.3,-0.6,-0.3,-1.2,-2.0,-1.9
WSPD,3.6999999999999997,4.016217125604641,3.9560080889704965,4.459820624195552,2.570992026436488,2.1213203435596424,2.863564212655271,3.6891733491393435,3.807886552931954
