,2010-12-25 06:00:00,2010-12-25 09:00:00,2010-12-25 12:00:00,2010-12-25 15:00:00,2010-12-25 18:00:00,2010-12-25 21:00:00,2010-12-26 00:00:00,2010-12-26 03:00:00,2010-12-26 06:00:00
DWPC,-3.2,-3.52,-2.74,-3.03,-1.79,-1.6,-2.86,-4.34,-5.18
HCLD,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,94.0,78.0,80.0,87.0,83.0,94.0,82.0,86.0,82.0
MCLD,100.0,100.0,56.0,54.0,92.0,88.0,60.0,60.0,44.0
PRCP,0.0,0.39,0.18,0.29,0.27,0.23,0.27,0.45,0.34
PRES,993.9,993.3,993.3,994.0,993.6,992.8,993.6,993.7,993.1
TMPC,-2.96,-3.26,-2.56,-2.76,-1.16,-1.16,-2.66,-4.16,-4.86
UWND,-1.3,0.3,0.4,1.3,1.3,2.0,2.9,2.2,1.8
VWND,-1.3,-2.6,-3.5,-4.3,-5.6,-5.0,-4.8,-4.9,-4.3
WSPD,1.8384776310850237,2.6172504656604803,3.5227829907617076,4.49221548904324,5.748912940721924,5.385164807134504,5.608029957123981,5.371219600798314,4.661544808322666
