,2018-03-11 12:00:00,2018-03-11 15:00:00,2018-03-11 18:00:00,2018-03-11 21:00:00,2018-03-12 00:00:00,2018-03-12 03:00:00,2018-03-12 06:00:00,2018-03-12 09:00:00,2018-03-12 12:00:00,2018-03-12 15:00:00,2018-03-12 18:00:00,2018-03-12 21:00:00,2018-03-13 00:00:00,2018-03-13 03:00:00,2018-03-13 06:00:00,2018-03-13 09:00:00,2018-03-13 12:00:00,2018-03-13 15:00:00,2018-03-13 18:00:00,2018-03-13 21:00:00,2018-03-14 00:00:00,2018-03-14 03:00:00,2018-03-14 06:00:00,2018-03-14 09:00:00,2018-03-14 12:00:00,2018-03-14 15:00:00,2018-03-14 18:00:00,2018-03-14 21:00:00,2018-03-15 00:00:00,2018-03-15 03:00:00,2018-03-15 06:00:00,2018-03-15 09:00:00,2018-03-15 12:00:00,2018-03-15 15:00:00,2018-03-15 18:00:00,2018-03-15 21:00:00,2018-03-16 00:00:00,2018-03-16 03:00:00,2018-03-16 06:00:00,2018-03-16 09:00:00,2018-03-16 12:00:00,2018-03-16 15:00:00,2018-03-16 18:00:00,2018-03-16 21:00:00,2018-03-17 00:00:00,2018-03-17 03:00:00,2018-03-17 06:00:00,2018-03-17 09:00:00,2018-03-17 12:00:00,2018-03-17 15:00:00,2018-03-17 18:00:00,2018-03-17 21:00:00,2018-03-18 00:00:00,2018-03-18 03:00:00,2018-03-18 06:00:00,2018-03-18 09:00:00,2018-03-18 12:00:00,2018-03-18 15:00:00,2018-03-18 18:00:00,2018-03-18 21:00:00,2018-03-19 00:00:00
DWPC,-6.34,-6.49,-6.65,-5.76,-4.45,-5.74,-6.31,-6.71,-2.79,-2.46,-3.36,-4.19,-5.08,-4.97,-4.82,-5.62,-5.57,-6.85,-7.84,-8.22,-7.49,-7.71,-9.21,-10.17,-10.6,-11.03,-10.03,-8.66,-6.77,-6.29,-5.77,-5.33,-5.13,-2.95,-1.37,-0.06,0.7,-0.33,-0.96,-0.28,1.98,6.47,8.94,9.56,10.26,11.55,12.1,12.08,12.33,12.9,13.57,12.88,12.59,11.72,10.94,10.15,8.28,8.57,8.69,11.27,13.72
HCLD,98.0,99.0,100.0,100.0,100.0,94.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,23.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,17.0,7.0,50.0,90.0,94.0,100.0,76.0,26.0,20.0,83.0,92.0,100.0,63.0,0.0,9.0,67.0,33.0,4.0,9.0,55.0,78.0,99.0,97.0
LCLD,100.0,95.0,92.0,57.0,29.0,0.0,0.0,0.0,0.0,80.0,90.0,74.0,49.0,75.0,44.0,0.0,0.0,10.0,55.0,100.0,100.0,99.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,22.0,84.0,71.0,100.0,100.0,100.0,100.0,96.0,98.0,100.0,79.0,54.0,66.0,35.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0
MCLD,100.0,100.0,100.0,79.0,89.0,45.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,62.0,54.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.16,0.060000000000000005,0.09,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.78,0.37,0.44,0.16,0.25,0.3,0.02,0.28,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,992.0,992.9,992.8,991.3,992.9,993.2,993.8,992.9,992.5,992.4,992.5,991.5,992.9,993.9,994.3,994.2,994.2,995.1,994.9,993.3,993.7,995.0,995.6,995.7,996.3,997.2,995.8,993.2,992.1,991.5,990.5,988.9,989.3,990.1,989.6,988.3,988.6,989.6,989.3,988.0,987.6,987.6,985.6,983.5,982.9,982.7,981.6,981.0,981.7,982.6,982.2,981.0,982.6,983.9,984.6,985.5,986.3,986.6,985.0,982.5,980.3
TMPC,-0.16,1.44,3.84,5.34,3.44,0.64,-0.96,-1.06,-0.86,2.14,3.54,4.74,1.84,1.34,-0.76,-1.46,-1.86,1.34,2.54,2.74,0.54,-1.46,-3.36,-3.86,-4.06,-1.26,2.94,4.94,1.94,0.34,0.44,2.14,-0.06,5.54,10.04,12.54,9.14,6.24,4.74,4.54,4.24,8.44,13.04,11.94,11.24,12.64,12.94,12.64,12.74,13.34,18.84,20.04,17.64,13.84,12.54,11.54,9.94,13.74,18.84,20.64,18.04
UWND,-5.8,-4.9,-4.9,-3.6,-0.9,-1.5,-0.7,1.4,2.9,4.2,4.6,2.9,1.5,2.3,2.9,2.8,3.0,3.1,3.7,4.1,2.2,1.1,1.3,2.3,2.3,3.3,4.4,5.2,3.2,3.1,4.1,4.8,3.2,2.8,1.1,0.1,-2.0,-3.3,-3.5,-4.0,-3.2,-1.6,-1.2,-0.7,-0.6,2.3,3.3,2.7,2.0,1.5,1.5,2.2,0.2,-1.9,-0.8,-1.6,-2.3,-3.4,-2.9,-1.7,-2.1
VWND,-1.4,-2.0,-3.4,-5.0,-4.0,-5.2,-3.2,-2.0,-2.0,-4.9,-5.7,-6.9,-4.5,-3.9,-3.6,-3.8,-3.3,-5.6,-5.5,-5.3,-4.8,-5.2,-4.9,-4.3,-3.7,-3.2,-2.3,-1.4,0.7,1.8,1.9,1.6,-0.4,-1.8,-1.7,-1.0,-0.5,0.2,1.0,1.4,2.0,3.7,5.3,5.2,4.7,5.6,4.1,2.3,2.0,0.5,0.7,0.1,-2.1,-0.6,0.6,-1.5,-0.8,1.2,3.5,4.1,3.8
WSPD,5.966573556070519,5.292447448959697,5.964059020499379,6.161168720299745,4.1,5.412023651093923,3.2756678708318403,2.4413111231467406,3.5227829907617076,6.4536811201050215,7.3246160308919945,7.484650960465692,4.743416490252569,4.527692569068709,4.622769732530488,4.720169488482378,4.459820624195552,6.400781202322104,6.62872536767062,6.700746227100382,5.280151512977634,5.315072906367325,5.069516742254631,4.876474136094643,4.356604182158393,4.596737973824482,4.964876634922564,5.385164807134505,3.2756678708318403,3.5846896657869842,4.518849411078001,5.059644256269407,3.22490309931942,3.3286633954186473,2.0248456731316584,1.004987562112089,2.0615528128088303,3.3060550509633075,3.640054944640259,4.237924020083418,3.773592452822642,4.031128874149275,5.43415126767741,5.246903848937962,4.738143096192854,6.053924347066124,5.263078946776306,3.5468295701936396,2.8284271247461903,1.5811388300841898,1.6552945357246849,2.202271554554524,2.1095023109728985,1.9924858845171274,1.0,2.193171219946131,2.435159132377184,3.605551275463989,4.545327270945404,4.43846820423443,4.341658669218482
