,2018-10-30 06:00:00,2018-10-30 09:00:00,2018-10-30 12:00:00,2018-10-30 15:00:00,2018-10-30 18:00:00,2018-10-30 21:00:00,2018-10-31 00:00:00,2018-10-31 03:00:00,2018-10-31 06:00:00
DWPC,3.94,3.94,3.93,5.46,10.47,13.23,14.09,15.06,14.56
HCLD,67.0,7.0,4.0,29.0,63.0,100.0,100.0,100.0,100.0
LCLD,0.0,0.0,21.0,70.0,35.0,46.0,73.0,43.0,37.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,67.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.04,0.22999999999999998,1.54,3.24
PRES,990.2,988.8,987.9,987.1,985.4,983.5,982.9,981.8,981.0
TMPC,9.04,8.94,9.24,12.94,18.04,18.24,17.64,17.44,17.34
UWND,-1.2,-1.2,-0.8,0.0,2.0,1.8,1.1,2.2,4.0
VWND,3.2,4.6,5.2,7.1,7.2,4.7,7.1,7.0,6.2
WSPD,3.417601498127013,4.7539457296018846,5.261178575186363,7.1,7.472616676907762,5.032891812864648,7.1847059786744225,7.337574531137657,7.378346698278687
