,2011-01-15 06:00:00,2011-01-15 09:00:00,2011-01-15 12:00:00,2011-01-15 15:00:00,2011-01-15 18:00:00,2011-01-15 21:00:00,2011-01-16 00:00:00,2011-01-16 03:00:00,2011-01-16 06:00:00
DWPC,-4.69,-4.95,-4.72,-2.9,-1.55,-4.9,-7.5,-9.84,-10.46
HCLD,5.0,10.0,46.0,70.0,72.0,21.0,1.0,0.0,4.0
LCLD,57.0,42.0,60.0,88.0,100.0,93.0,77.0,6.0,26.0
MCLD,22.0,9.0,1.0,59.0,11.0,1.0,31.0,0.0,0.0
PRCP,0.0,0.0,0.05,0.1,0.15,0.12,0.03,0.0,0.02
PRES,993.0,991.5,990.4,990.9,990.6,991.9,993.6,994.6,995.5
TMPC,-4.46,-4.66,-4.46,-2.46,-0.56,-3.66,-6.86,-9.26,-9.66
UWND,3.2,4.8,4.7,5.4,5.3,4.0,2.5,1.6,0.7
VWND,3.1,2.2,1.6,0.0,-2.9,-4.5,-3.0,-3.4,-2.8
WSPD,4.455333881989093,5.280151512977634,4.964876634922565,5.4,6.041522986797286,6.020797289396148,3.905124837953327,3.757658845611187,2.886173937932362
