,2015-01-27 06:00:00,2015-01-27 09:00:00,2015-01-27 12:00:00,2015-01-27 15:00:00,2015-01-27 18:00:00,2015-01-27 21:00:00,2015-01-28 00:00:00,2015-01-28 03:00:00,2015-01-28 06:00:00
DWPC,-2.63,-2.58,-2.56,-2.27,-2.67,-3.39,-4.91,-7.7,-9.33
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,96.0,98.0,88.0,97.0,99.0,100.0,100.0,4.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.06,0.02,0.05,0.08,0.04,0.02,0.0,0.0
PRES,985.5,986.7,988.2,990.7,992.3,993.1,994.7,996.2,996.9
TMPC,-1.56,-1.56,-1.56,-0.76,-0.46,-0.56,-2.36,-4.86,-5.36
UWND,-1.2,-0.4,-0.2,-1.2,-2.1,-1.4,-1.5,-2.0,-2.7
VWND,0.4,-0.6,-1.3,-1.7,-1.6,-2.7,-2.7,-1.8,-0.6
WSPD,1.2649110640673518,0.7211102550927979,1.3152946437965907,2.080865204668481,2.6400757564888173,3.0413812651491097,3.0886890422961004,2.6907248094147422,2.7658633371878665
