,2016-10-23 06:00:00,2016-10-23 09:00:00,2016-10-23 12:00:00,2016-10-23 15:00:00,2016-10-23 18:00:00,2016-10-23 21:00:00,2016-10-24 00:00:00,2016-10-24 03:00:00,2016-10-24 06:00:00
DWPC,7.37,7.57,7.3,8.29,8.35,9.15,9.25,9.98,5.17
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,989.9,989.8,989.7,989.6,988.2,987.1,988.8,991.0,993.2
TMPC,9.84,9.04,8.54,14.14,19.64,20.24,15.54,13.54,11.04
UWND,2.7,2.5,2.3,4.3,5.8,7.1,4.6,3.9,2.4
VWND,3.0,2.5,2.9,3.5,4.2,3.1,1.3,-1.4,-3.1
WSPD,4.036087214122113,3.5355339059327378,3.7013511046643495,5.544366510251645,7.161005515987263,7.747257579298625,4.780167361086848,4.1436698710201325,3.920459156782532
