,2013-09-07 12:00:00,2013-09-07 15:00:00,2013-09-07 18:00:00,2013-09-07 21:00:00,2013-09-08 00:00:00,2013-09-08 03:00:00,2013-09-08 06:00:00,2013-09-08 09:00:00,2013-09-08 12:00:00,2013-09-08 15:00:00,2013-09-08 18:00:00,2013-09-08 21:00:00,2013-09-09 00:00:00,2013-09-09 03:00:00,2013-09-09 06:00:00,2013-09-09 09:00:00,2013-09-09 12:00:00,2013-09-09 15:00:00,2013-09-09 18:00:00,2013-09-09 21:00:00,2013-09-10 00:00:00,2013-09-10 03:00:00,2013-09-10 06:00:00,2013-09-10 09:00:00,2013-09-10 12:00:00,2013-09-10 15:00:00,2013-09-10 18:00:00,2013-09-10 21:00:00,2013-09-11 00:00:00,2013-09-11 03:00:00,2013-09-11 06:00:00,2013-09-11 09:00:00,2013-09-11 12:00:00,2013-09-11 15:00:00,2013-09-11 18:00:00,2013-09-11 21:00:00,2013-09-12 00:00:00,2013-09-12 03:00:00,2013-09-12 06:00:00,2013-09-12 09:00:00,2013-09-12 12:00:00,2013-09-12 15:00:00,2013-09-12 18:00:00,2013-09-12 21:00:00,2013-09-13 00:00:00,2013-09-13 03:00:00,2013-09-13 06:00:00,2013-09-13 09:00:00,2013-09-13 12:00:00,2013-09-13 15:00:00,2013-09-13 18:00:00,2013-09-13 21:00:00,2013-09-14 00:00:00,2013-09-14 03:00:00,2013-09-14 06:00:00,2013-09-14 09:00:00,2013-09-14 12:00:00,2013-09-14 15:00:00,2013-09-14 18:00:00,2013-09-14 21:00:00,2013-09-15 00:00:00
DWPC,13.49,16.72,14.75,13.64,16.1,16.45,16.36,17.0,16.61,20.06,18.98,19.36,21.26,20.45,19.08,18.12,17.78,20.09,20.54,20.09,20.79,19.68,19.23,19.75,19.62,20.79,18.16,17.34,18.7,17.76,17.11,15.39,14.35,15.81,17.09,17.88,20.78,21.77,21.69,19.4,15.72,17.3,13.54,13.24,14.29,13.4,11.59,9.21,7.57,7.36,7.01,7.57,7.85,6.96,6.58,6.51,6.91,8.3,8.18,8.85,8.63
HCLD,41.0,34.0,2.0,0.0,0.0,33.0,97.0,95.0,41.0,31.0,63.0,71.0,45.0,33.0,19.0,17.0,47.0,35.0,51.0,58.0,56.0,21.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,67.0,77.0,90.0,92.0,33.0,43.0,82.0,56.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,51.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,70.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,91.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.17,1.59,1.34,0.04,0.82,1.05,0.01,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,5.56,5.34,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,990.7,989.1,987.9,986.3,985.7,987.2,986.3,986.2,987.2,988.0,987.7,986.1,986.8,988.0,987.6,987.3,987.8,988.5,987.2,985.6,985.3,986.6,986.5,987.4,988.5,989.4,988.7,987.4,987.5,989.2,988.9,989.5,990.2,990.4,989.1,987.4,988.3,988.9,988.7,989.0,989.6,990.3,989.0,988.1,988.3,990.7,992.2,992.9,994.7,995.4,994.6,993.1,993.2,994.2,994.6,994.7,995.1,995.7,994.8,992.9,992.8
TMPC,16.54,24.44,30.04,30.44,22.94,19.44,19.14,20.14,18.74,23.44,29.44,30.04,23.94,21.24,19.34,18.34,18.04,24.54,31.54,32.84,27.64,25.24,23.84,21.24,20.74,27.34,33.74,34.14,28.04,25.34,23.24,21.34,20.44,26.94,31.94,32.64,25.94,23.54,22.94,20.34,17.14,23.44,29.44,29.64,23.24,19.44,14.74,12.14,9.94,15.44,19.14,20.14,14.74,11.34,9.44,8.34,7.84,15.94,20.94,22.04,14.44
UWND,1.8,1.8,2.4,2.7,2.1,1.8,-0.2,-0.7,-2.2,-1.9,-2.0,-1.9,-2.7,-3.4,-3.2,-2.6,-1.6,-0.9,0.4,1.7,0.6,0.0,0.2,1.4,1.4,1.8,4.2,3.8,1.7,1.3,2.2,2.5,2.9,3.4,4.5,4.7,1.8,1.0,2.1,1.8,-0.3,-0.2,0.3,1.3,0.8,-2.9,-2.9,-2.8,-2.6,-3.2,-2.7,-2.7,-2.2,-2.4,-2.6,-2.5,-2.3,-2.3,-2.2,-2.1,-2.0
VWND,1.7,2.5,2.0,2.0,2.0,1.0,0.9,1.0,-0.6,-0.3,0.5,0.1,-1.3,0.1,0.7,1.3,1.8,2.2,3.1,3.1,2.7,3.3,3.7,3.1,2.6,3.2,2.3,3.0,3.1,3.3,2.4,2.1,1.8,1.6,0.9,0.5,-1.9,-1.8,0.9,-2.0,-2.7,-1.8,-2.2,-3.0,-2.8,-4.0,-3.4,-2.5,-2.1,-3.2,-3.3,-2.5,-1.7,-1.6,-0.8,0.2,0.6,0.5,0.6,1.3,1.1
WSPD,2.4758836806279896,3.0805843601498726,3.1240998703626617,3.3600595232822887,2.9,2.0591260281974,0.9219544457292888,1.2206555615733703,2.280350850198276,1.9235384061671343,2.0615528128088303,1.9026297590440446,2.9966648127543394,3.4014702703389896,3.2756678708318403,2.906888370749727,2.4083189157584592,2.3769728648009427,3.125699921617557,3.5355339059327378,2.7658633371878665,3.3,3.705401462729781,3.4014702703389896,2.95296461204668,3.6715119501371642,4.788527957525152,4.841487374764082,3.5355339059327378,3.5468295701936396,3.2557641192199416,3.2649655434629015,3.4132096331752027,3.757658845611187,4.589117562233506,4.72652091923859,2.6172504656604803,2.0591260281974,2.2847319317591728,2.6907248094147422,2.716615541441225,1.8110770276274835,2.220360331117452,3.269556544854363,2.912043955712207,4.94064773081425,4.468780594300866,3.753664875824692,3.342154993413681,4.525483399593905,4.263801121065568,3.67967389859482,2.7802877548915688,2.8844410203711917,2.7202941017470885,2.5079872407968904,2.3769728648009423,2.3537204591879637,2.280350850198276,2.4698178070456938,2.2825424421026654
