,2010-01-18 06:00:00,2010-01-18 09:00:00,2010-01-18 12:00:00,2010-01-18 15:00:00,2010-01-18 18:00:00,2010-01-18 21:00:00,2010-01-19 00:00:00,2010-01-19 03:00:00,2010-01-19 06:00:00
DWPC,-2.95,-3.34,-3.77,-2.5,-0.42,0.14,-1.01,-1.43,-1.98
HCLD,0.0,4.0,14.0,88.0,84.0,92.0,100.0,95.0,19.0
LCLD,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0
MCLD,0.0,0.0,6.0,77.0,91.0,65.0,99.0,100.0,86.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.13,0.02
PRES,986.8,986.8,987.9,988.9,988.3,987.4,988.2,988.4,988.5
TMPC,-2.06,-2.46,-2.96,-0.96,2.14,2.34,0.34,-0.26,-0.66
UWND,3.4,2.9,3.0,2.6,2.5,2.2,2.2,1.1,0.6
VWND,-0.6,-0.7,-0.2,0.3,0.2,1.1,-0.7,-1.4,-2.3
WSPD,3.4525353003264136,2.9832867780352594,3.0066592756745814,2.6172504656604803,2.5079872407968904,2.459674775249769,2.3086792761230392,1.7804493814764855,2.3769728648009423
