,2013-12-02 06:00:00,2013-12-02 09:00:00,2013-12-02 12:00:00,2013-12-02 15:00:00,2013-12-02 18:00:00,2013-12-02 21:00:00,2013-12-03 00:00:00,2013-12-03 03:00:00,2013-12-03 06:00:00
DWPC,1.37,1.19,1.14,1.99,3.67,5.47,5.92,7.04,5.98
HCLD,55.0,84.0,40.0,60.0,58.0,1.0,-9999.0,0.0,0.0
LCLD,0.0,1.0,61.0,91.0,83.0,86.0,82.0,96.0,38.0
MCLD,92.0,95.0,69.0,87.0,81.0,96.0,74.0,9.0,1.0
PRCP,0.0,0.09,0.03,0.09,0.25,0.69,0.19,0.2,0.01
PRES,987.1,985.6,984.1,983.7,981.4,979.5,978.9,978.3,978.3
TMPC,2.44,2.44,1.94,3.54,5.44,6.64,6.74,7.74,6.64
UWND,-2.5,-2.4,-2.3,-2.2,-1.7,-2.0,-2.1,-0.2,0.4
VWND,-0.6,0.2,0.7,0.9,1.7,1.7,2.9,4.2,4.3
WSPD,2.570992026436488,2.4083189157584592,2.4041630560342613,2.3769728648009427,2.4041630560342613,2.6248809496813372,3.5805027579936315,4.2047592083257275,4.318564576337836
