,2019-11-02 06:00:00,2019-11-02 09:00:00,2019-11-02 12:00:00,2019-11-02 15:00:00,2019-11-02 18:00:00,2019-11-02 21:00:00,2019-11-03 00:00:00,2019-11-03 03:00:00,2019-11-03 06:00:00
DWPC,-0.41,0.56,0.56,0.98,-0.63,-0.82,-1.6,-1.14,-1.81
HCLD,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,0.0,50.0,63.0,58.0,45.0,67.0,83.0,91.0,46.0
MCLD,83.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.01,0.0,0.0,0.0,0.04,0.04,0.0,0.0
PRES,993.9,993.1,993.3,994.3,994.2,994.0,995.5,995.7,995.3
TMPC,1.44,2.44,1.04,3.44,6.14,5.44,3.54,3.34,1.34
UWND,2.7,2.8,3.1,5.4,6.5,6.2,4.4,2.8,2.4
VWND,1.1,0.5,0.1,-0.4,-1.8,-1.9,-2.3,-0.3,0.8
WSPD,2.9154759474226504,2.8442925306655784,3.1016124838541645,5.414794548272353,6.7446274915669,6.48459713474939,4.964876634922564,2.8160255680657444,2.5298221281347035
