,2018-10-21 06:00:00,2018-10-21 09:00:00,2018-10-21 12:00:00,2018-10-21 15:00:00,2018-10-21 18:00:00,2018-10-21 21:00:00,2018-10-22 00:00:00,2018-10-22 03:00:00,2018-10-22 06:00:00
DWPC,-6.66,-6.48,-6.76,-6.75,-6.39,-5.02,-4.08,-3.76,-3.59
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,1000.6,1001.6,1002.0,1002.7,1000.6,997.8,996.1,995.6,994.7
TMPC,1.14,-0.06,-0.86,3.74,7.84,9.34,5.74,5.44,4.84
UWND,1.8,2.0,0.8,1.1,2.7,3.1,1.6,2.3,2.6
VWND,-3.0,-2.0,-1.9,-1.0,1.4,2.7,3.3,4.3,4.0
WSPD,3.4985711369071804,2.8284271247461903,2.0615528128088303,1.4866068747318506,3.0413812651491097,4.110960958218893,3.6674241641784495,4.876474136094643,4.770744176750625
