,2011-12-13 06:00:00,2011-12-13 09:00:00,2011-12-13 12:00:00,2011-12-13 15:00:00,2011-12-13 18:00:00,2011-12-13 21:00:00,2011-12-14 00:00:00,2011-12-14 03:00:00,2011-12-14 06:00:00
DWPC,-2.71,-2.8,-2.53,-2.07,-0.56,0.89,2.58,3.65,4.55
HCLD,36.0,66.0,46.0,21.0,43.0,98.0,90.0,90.0,96.0
LCLD,92.0,50.0,96.0,93.0,15.0,16.0,38.0,78.0,98.0
MCLD,0.0,0.0,0.0,39.0,43.0,40.0,92.0,97.0,59.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.02,0.93,3.19,0.37
PRES,1001.8,1001.6,1002.2,1002.5,1001.9,1000.0,999.9,999.1,997.1
TMPC,1.24,0.94,1.34,2.44,6.74,6.74,4.54,4.64,5.24
UWND,0.4,1.0,0.7,-0.4,0.6,0.1,-0.6,-1.6,-1.5
VWND,2.8,2.4,1.7,2.8,2.8,3.2,3.5,4.0,4.1
WSPD,2.82842712474619,2.6,1.8384776310850235,2.82842712474619,2.8635642126552705,3.2015621187164247,3.5510561809129406,4.308131845707604,4.365775990588615
