,2015-03-22 06:00:00,2015-03-22 09:00:00,2015-03-22 12:00:00,2015-03-22 15:00:00,2015-03-22 18:00:00,2015-03-22 21:00:00,2015-03-23 00:00:00,2015-03-23 03:00:00,2015-03-23 06:00:00
DWPC,-1.85,-4.61,-4.8,-3.85,-3.9,-3.97,-3.47,-4.42,-4.61
HCLD,92.0,97.0,91.0,99.0,99.0,98.0,70.0,0.0,0.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,995.3,995.3,995.7,996.1,995.7,993.8,993.9,995.3,995.5
TMPC,4.34,2.84,1.64,4.64,8.04,9.64,6.84,4.24,2.14
UWND,-4.1,-4.3,-4.7,-6.6,-6.2,-5.5,-4.2,-4.9,-4.3
VWND,-0.8,-1.8,-2.3,-0.6,0.0,-0.2,-1.1,-1.3,-2.0
WSPD,4.177319714841085,4.661544808322666,5.232590180780452,6.627216610312356,6.2,5.503635162326805,4.341658669218482,5.069516742254631,4.742362280551751
