,2017-06-07 12:00:00,2017-06-07 15:00:00,2017-06-07 18:00:00,2017-06-07 21:00:00,2017-06-08 00:00:00,2017-06-08 03:00:00,2017-06-08 06:00:00,2017-06-08 09:00:00,2017-06-08 12:00:00,2017-06-08 15:00:00,2017-06-08 18:00:00,2017-06-08 21:00:00,2017-06-09 00:00:00,2017-06-09 03:00:00,2017-06-09 06:00:00,2017-06-09 09:00:00,2017-06-09 12:00:00,2017-06-09 15:00:00,2017-06-09 18:00:00,2017-06-09 21:00:00,2017-06-10 00:00:00,2017-06-10 03:00:00,2017-06-10 06:00:00,2017-06-10 09:00:00,2017-06-10 12:00:00,2017-06-10 15:00:00,2017-06-10 18:00:00,2017-06-10 21:00:00,2017-06-11 00:00:00,2017-06-11 03:00:00,2017-06-11 06:00:00,2017-06-11 09:00:00,2017-06-11 12:00:00,2017-06-11 15:00:00,2017-06-11 18:00:00,2017-06-11 21:00:00,2017-06-12 00:00:00,2017-06-12 03:00:00,2017-06-12 06:00:00,2017-06-12 09:00:00,2017-06-12 12:00:00,2017-06-12 15:00:00,2017-06-12 18:00:00,2017-06-12 21:00:00,2017-06-13 00:00:00,2017-06-13 03:00:00,2017-06-13 06:00:00,2017-06-13 09:00:00,2017-06-13 12:00:00,2017-06-13 15:00:00,2017-06-13 18:00:00,2017-06-13 21:00:00,2017-06-14 00:00:00,2017-06-14 03:00:00,2017-06-14 06:00:00,2017-06-14 09:00:00,2017-06-14 12:00:00,2017-06-14 15:00:00,2017-06-14 18:00:00,2017-06-14 21:00:00,2017-06-15 00:00:00
DWPC,11.9,11.91,11.31,11.8,13.7,11.49,11.17,9.63,9.78,12.21,10.96,11.47,14.67,11.45,10.64,10.28,12.05,14.25,15.34,15.98,17.12,14.4,13.27,12.05,13.65,16.29,17.21,17.78,18.81,15.32,13.86,14.26,15.43,18.03,20.0,20.19,20.32,16.9,16.78,17.01,17.76,19.06,19.01,19.82,21.11,18.32,18.51,19.38,20.73,22.22,20.46,20.98,22.64,21.26,20.96,20.97,21.52,22.37,22.17,22.34,23.35
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0,40.0,14.0,0.0,0.0,0.0,0.0,18.0,38.0,39.0,31.0,39.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,91.0,62.0,0.0
LCLD,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.02,0.0,0.0,0.0,1.83,0.19,1.85,0.66,0.01,0.68
PRES,991.1,991.6,991.9,991.2,990.7,991.4,991.5,990.9,990.8,990.6,989.5,987.3,985.9,986.4,986.0,985.3,986.1,986.8,986.5,984.8,984.7,985.9,986.1,986.1,987.3,988.3,987.3,986.5,986.4,987.5,988.0,989.0,990.4,991.5,990.5,989.6,989.5,990.4,989.9,989.9,991.2,991.0,989.3,987.8,987.1,988.2,988.4,987.9,988.8,989.3,988.0,986.7,986.6,987.6,987.3,987.3,987.3,987.0,986.0,984.2,983.4
TMPC,14.44,18.14,20.64,21.24,19.34,14.44,12.74,11.74,13.04,19.24,22.14,23.14,21.84,14.14,14.34,14.04,15.94,21.24,24.14,25.04,23.04,18.14,16.34,15.64,16.84,23.34,27.04,27.44,24.34,20.54,19.54,17.84,18.84,24.44,28.64,29.54,26.54,21.74,21.14,19.84,20.64,26.54,28.94,29.44,27.14,22.64,21.84,20.94,22.54,27.94,30.84,31.24,28.64,24.34,22.84,21.84,22.94,27.84,29.34,30.44,27.84
UWND,-2.2,-4.4,-4.9,-5.5,-2.8,-2.2,-1.5,-0.6,-1.1,-2.3,-1.6,-0.4,0.0,0.6,1.9,1.9,2.3,4.4,4.2,4.1,2.5,1.7,1.4,0.7,1.7,3.0,3.3,3.0,0.7,0.8,2.6,2.3,2.9,3.3,3.4,2.9,1.0,0.0,1.8,2.0,1.5,3.3,3.8,3.6,1.2,0.3,1.6,2.0,2.7,2.5,1.5,1.8,1.1,-0.1,-0.1,0.1,0.8,3.0,1.9,2.2,0.6
VWND,-2.5,-4.1,-4.2,-4.0,-1.9,-1.8,-2.1,-2.7,-2.6,-1.6,-2.0,-2.5,-1.4,-0.3,0.1,1.1,1.6,1.5,1.9,2.6,2.2,2.7,2.8,3.5,3.7,4.9,6.0,5.8,4.7,5.2,4.7,3.9,3.7,4.1,4.6,4.9,3.7,3.8,4.2,3.4,3.7,5.1,5.9,5.5,4.0,3.6,3.6,3.2,3.1,3.0,4.2,4.8,3.4,3.8,3.6,3.6,4.7,4.4,6.3,7.3,5.3
WSPD,3.3301651610693423,6.014149981501958,6.4536811201050215,6.800735254367722,3.383784863137726,2.8425340807103794,2.5806975801127883,2.7658633371878665,2.823118842698621,2.80178514522438,2.5612496949731396,2.5317977802344327,1.4,0.6708203932499369,1.9026297590440446,2.195449840010015,2.80178514522438,4.648655719667784,4.6097722286464435,4.854894437575342,3.3301651610693423,3.1906112267087634,3.1304951684997055,3.5693136595149495,4.071854614300467,5.745432968889291,6.847627326307997,6.529931086925803,4.751841748206689,5.261178575186363,5.371219600798314,4.527692569068709,4.701063709417263,5.263078946776306,5.720139858430037,5.693856338194704,3.83275357934736,3.8,4.5694638635183455,3.944616584663204,3.992492955535426,6.074537019394976,7.0178344238090995,6.573431371817918,4.17612260356422,3.6124783736376886,3.939543120718442,3.773592452822642,4.110960958218893,3.905124837953327,4.459820624195552,5.126402247190518,3.5735136770411273,3.8013155617496426,3.6013886210738213,3.6013886210738213,4.767598976424087,5.325410782277739,6.58027355054484,7.624303246854758,5.333854141237834
