,2017-03-18 06:00:00,2017-03-18 09:00:00,2017-03-18 12:00:00,2017-03-18 15:00:00,2017-03-18 18:00:00,2017-03-18 21:00:00,2017-03-19 00:00:00,2017-03-19 03:00:00,2017-03-19 06:00:00
DWPC,2.95,1.09,-0.68,-0.99,-0.2,0.23,0.18,-0.52,-1.16
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0
LCLD,0.0,0.0,0.0,0.0,68.0,98.0,100.0,33.0,1.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.01,0.04,0.02,0.0,0.0,0.0
PRES,992.2,992.4,993.6,995.6,996.6,996.5,997.9,999.2,999.6
TMPC,4.34,2.54,0.94,3.34,5.24,5.54,4.14,1.14,0.04
UWND,3.6,4.9,4.8,5.3,5.0,4.8,1.3,0.9,1.3
VWND,-1.8,-1.9,-3.3,-5.5,-4.6,-4.4,-4.1,-2.5,-2.0
WSPD,4.024922359499622,5.2554733373883655,5.82494635168428,7.638062581571324,6.794115100585211,6.511528238439883,4.301162633521313,2.6570660511172846,2.3853720883753127
