,2011-03-03 06:00:00,2011-03-03 09:00:00,2011-03-03 12:00:00,2011-03-03 15:00:00,2011-03-03 18:00:00,2011-03-03 21:00:00,2011-03-04 00:00:00,2011-03-04 03:00:00,2011-03-04 06:00:00
DWPC,-3.82,-4.06,-4.4,-5.1,-3.3,1.58,3.49,4.58,6.15
HCLD,18.0,26.0,62.0,89.0,91.0,99.0,57.0,3.0,15.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
MCLD,0.0,0.0,0.0,0.0,74.0,97.0,97.0,98.0,88.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
PRES,1001.7,1000.7,1000.2,999.2,996.7,993.1,992.2,991.8,991.0
TMPC,-2.16,-2.16,-2.26,1.64,6.94,7.84,4.54,5.14,6.54
UWND,-5.1,-4.7,-4.8,-4.8,-3.9,-2.6,-2.1,-1.6,-0.3
VWND,-0.1,1.3,1.9,3.8,4.9,4.2,3.9,3.6,4.6
WSPD,5.10098029794274,4.876474136094644,5.162363799656123,6.1220911460055865,6.262587324740471,4.9396356140913875,4.42944691807002,3.939543120718442,4.6097722286464435
