,2012-08-10 06:00:00,2012-08-10 09:00:00,2012-08-10 12:00:00,2012-08-10 15:00:00,2012-08-10 18:00:00,2012-08-10 21:00:00,2012-08-11 00:00:00,2012-08-11 03:00:00,2012-08-11 06:00:00
DWPC,16.08,15.75,15.89,16.61,16.91,17.64,17.55,14.72,12.95
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,21.0,30.0,74.0,11.0,1.0,22.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.06,0.03,0.02,0.06,0.21,0.07,0.0,0.0
PRES,982.8,983.1,984.5,985.1,985.9,985.9,986.3,987.6,987.6
TMPC,16.34,15.94,16.14,19.94,21.94,21.84,19.34,15.24,13.44
UWND,1.3,1.1,1.3,0.2,0.5,1.2,0.3,0.4,1.2
VWND,-3.5,-3.1,-3.3,-4.9,-4.4,-4.2,-3.0,-2.3,-1.8
WSPD,3.7336309405188937,3.2893768406797057,3.5468295701936396,4.904079934095692,4.428317965096906,4.368065933568311,3.014962686336267,2.33452350598575,2.1633307652783933
