,2013-05-23 06:00:00,2013-05-23 09:00:00,2013-05-23 12:00:00,2013-05-23 15:00:00,2013-05-23 18:00:00,2013-05-23 21:00:00,2013-05-24 00:00:00,2013-05-24 03:00:00,2013-05-24 06:00:00
DWPC,12.83,12.35,12.3,12.36,12.74,9.25,7.82,3.03,-0.49
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,-9999.0,0.0,22.0,92.0,98.0,88.0,96.0,12.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.02,0.12,1.05,0.29,0.06,0.0,0.0
PRES,981.2,981.9,983.1,984.8,987.2,990.0,992.6,995.7,996.5
TMPC,13.74,12.84,13.64,14.84,14.24,13.04,11.44,7.24,4.54
UWND,3.5,3.5,4.4,4.3,2.5,0.3,-0.2,-1.3,-1.1
VWND,1.1,0.8,-0.2,0.2,-4.8,-6.7,-5.1,-4.7,-4.5
WSPD,3.6687872655688283,3.5902646142032486,4.404543109109048,4.304648650006176,5.412023651093923,6.706713054842886,5.103920062069938,4.876474136094644,4.632493928760188
