,2019-04-12 06:00:00,2019-04-12 09:00:00,2019-04-12 12:00:00,2019-04-12 15:00:00,2019-04-12 18:00:00,2019-04-12 21:00:00,2019-04-13 00:00:00,2019-04-13 03:00:00,2019-04-13 06:00:00
DWPC,8.85,6.3,0.88,0.59,0.98,1.19,2.19,2.17,1.97
HCLD,100.0,100.0,95.0,1.0,1.0,0.0,0.0,5.0,41.0
LCLD,81.0,39.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,97.0,100.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,6.37,0.01,0.0,0.0,0.0,0.0,0.0,0.0
PRES,975.3,975.9,977.9,980.4,982.1,983.3,985.0,988.1,989.2
TMPC,11.54,10.54,7.54,9.34,12.44,14.14,11.84,9.24,7.64
UWND,5.6,3.6,5.5,6.7,8.0,8.9,5.1,4.0,3.4
VWND,1.5,3.9,4.5,7.8,7.0,6.2,3.0,2.0,0.8
WSPD,5.797413216254298,5.30754180388624,7.106335201775948,10.282509421342633,10.63014581273465,10.846658471621572,5.9169248769948055,4.47213595499958,3.492849839314596
