,2011-08-21 06:00:00,2011-08-21 09:00:00,2011-08-21 12:00:00,2011-08-21 15:00:00,2011-08-21 18:00:00,2011-08-21 21:00:00,2011-08-22 00:00:00,2011-08-22 03:00:00,2011-08-22 06:00:00
DWPC,19.49,19.22,19.01,21.51,21.29,20.57,19.91,16.76,14.9
HCLD,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,1.44,1.43,0.0,0.22,0.72,0.06,0.0,0.0
PRES,985.7,985.2,986.3,986.7,987.1,986.0,987.0,989.1,989.2
TMPC,20.14,19.74,19.44,23.74,25.84,25.34,22.04,17.44,15.54
UWND,1.4,2.3,-0.2,0.4,1.3,1.7,0.9,0.5,0.0
VWND,1.4,-0.1,-1.8,-1.8,-3.0,-3.1,-2.8,-2.5,-2.0
WSPD,1.979898987322333,2.3021728866442674,1.8110770276274835,1.8439088914585775,3.269556544854363,3.5355339059327378,2.9410882339705484,2.5495097567963922,2.0
