,2011-03-30 12:00:00,2011-03-30 15:00:00,2011-03-30 18:00:00,2011-03-30 21:00:00,2011-03-31 00:00:00,2011-03-31 03:00:00,2011-03-31 06:00:00,2011-03-31 09:00:00,2011-03-31 12:00:00,2011-03-31 15:00:00,2011-03-31 18:00:00,2011-03-31 21:00:00,2011-04-01 00:00:00,2011-04-01 03:00:00,2011-04-01 06:00:00,2011-04-01 09:00:00,2011-04-01 12:00:00,2011-04-01 15:00:00,2011-04-01 18:00:00,2011-04-01 21:00:00,2011-04-02 00:00:00,2011-04-02 03:00:00,2011-04-02 06:00:00,2011-04-02 09:00:00,2011-04-02 12:00:00,2011-04-02 15:00:00,2011-04-02 18:00:00,2011-04-02 21:00:00,2011-04-03 00:00:00,2011-04-03 03:00:00,2011-04-03 06:00:00,2011-04-03 09:00:00,2011-04-03 12:00:00,2011-04-03 15:00:00,2011-04-03 18:00:00,2011-04-03 21:00:00,2011-04-04 00:00:00,2011-04-04 03:00:00,2011-04-04 06:00:00,2011-04-04 09:00:00,2011-04-04 12:00:00,2011-04-04 15:00:00,2011-04-04 18:00:00,2011-04-04 21:00:00,2011-04-05 00:00:00,2011-04-05 03:00:00,2011-04-05 06:00:00,2011-04-05 09:00:00,2011-04-05 12:00:00,2011-04-05 15:00:00,2011-04-05 18:00:00,2011-04-05 21:00:00,2011-04-06 00:00:00,2011-04-06 03:00:00,2011-04-06 06:00:00,2011-04-06 09:00:00,2011-04-06 12:00:00,2011-04-06 15:00:00,2011-04-06 18:00:00,2011-04-06 21:00:00,2011-04-07 00:00:00
DWPC,-2.02,-2.5,-1.77,-1.47,-0.73,-1.33,-1.77,-2.72,-4.1,-3.12,-3.5,-3.59,-1.33,-0.59,1.01,1.43,1.54,3.95,4.15,3.13,3.08,1.75,0.33,-0.29,-0.77,1.27,2.67,2.78,3.84,2.99,2.74,1.45,1.46,3.45,4.9,6.46,6.72,6.99,7.18,8.02,11.16,16.11,16.02,15.05,11.96,8.11,4.57,3.36,2.62,2.86,3.61,3.61,3.99,2.88,1.2,-0.33,-1.31,0.89,0.25,-0.03,0.83
HCLD,1.0,0.0,0.0,0.0,0.0,65.0,83.0,86.0,88.0,39.0,19.0,0.0,0.0,14.0,2.0,63.0,55.0,28.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,58.0,44.0,11.0,87.0,85.0,83.0,88.0,98.0,96.0,100.0,98.0,58.0,100.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,84.0,71.0,9.0,1.0,-9999.0,0.0,0.0,0.0,0.0
LCLD,14.0,5.0,-9999.0,41.0,89.0,20.0,2.0,23.0,1.0,0.0,0.0,0.0,4.0,1.0,-9999.0,0.0,6.0,91.0,95.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,54.0,6.0,0.0,2.0,0.0,2.0,0.0,56.0,98.0,100.0,100.0,100.0,98.0,78.0,73.0,93.0,55.0,35.0,54.0,46.0,75.0,77.0,90.0,94.0,95.0,93.0,42.0,4.0,2.0,6.0,0.0,10.0,0.0,0.0
MCLD,100.0,76.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,34.0,2.0,0.0,0.0,0.0,27.0,93.0,45.0,13.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,78.0,3.0,35.0,69.0,85.0,40.0,36.0,96.0,28.0,14.0,86.0,43.0,47.0,90.0,66.0,99.0,83.0,64.0,92.0,1.0,-9999.0,1.0,63.0,72.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.04,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.7,0.22,0.09,0.3,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.04,0.18,0.7,2.78,1.6,1.19,0.77,0.53,4.18,8.03,1.17,2.51,4.93,2.74,0.76,0.59,0.1,0.09,0.11,0.05,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0
PRES,991.6,989.3,989.4,988.0,986.9,986.9,986.6,985.5,984.1,983.8,981.5,978.7,978.7,978.9,977.2,975.2,974.4,974.4,974.7,974.6,977.1,980.0,981.3,982.3,984.4,987.0,987.5,986.5,987.4,989.4,990.0,990.4,991.0,991.2,988.5,984.9,983.7,982.2,978.5,975.7,975.0,974.7,974.7,972.2,975.4,976.3,976.5,977.3,979.4,981.8,982.6,980.6,982.3,983.4,983.8,984.0,985.6,988.0,988.1,987.7,988.4
TMPC,0.94,4.74,7.84,8.34,5.64,2.34,0.74,-0.66,-1.06,5.54,9.44,10.24,5.04,3.54,2.34,2.04,2.44,4.84,6.44,8.94,5.44,2.94,1.44,0.44,-0.26,6.34,9.64,10.94,7.44,5.74,5.14,2.94,3.14,7.74,9.44,8.14,7.24,7.44,7.64,8.34,11.54,17.04,16.44,15.64,12.44,8.84,5.64,4.44,3.64,4.84,6.44,6.34,5.54,3.54,1.64,-0.16,-0.96,4.74,8.24,9.54,5.64
UWND,-0.1,-4.3,-2.8,-1.4,-1.2,-2.1,-2.3,-1.6,-1.2,-0.7,0.0,0.2,0.7,1.2,1.6,1.0,0.7,3.9,6.6,7.1,3.9,4.6,5.0,4.5,4.1,5.5,6.2,5.3,2.8,2.0,1.4,-0.2,-2.5,-2.9,-3.3,-2.9,-4.8,-5.1,-3.5,-1.5,0.8,2.1,3.1,0.4,-0.9,-1.3,-1.8,-2.9,-3.5,-4.9,-4.9,-4.7,-1.9,-0.9,0.1,1.3,1.4,1.2,2.4,2.6,1.3
VWND,-3.2,-2.4,-1.8,-2.0,-1.9,-1.6,-1.0,-0.8,-1.1,-0.4,-1.1,-0.4,0.6,2.0,1.8,2.5,3.5,2.6,-0.9,-3.1,-3.2,-2.3,-2.1,-1.6,-1.8,-3.1,-2.0,-2.2,-1.0,-1.4,-1.8,-2.2,-0.9,1.4,2.9,1.8,2.2,2.2,3.2,2.8,3.2,2.1,-1.6,-3.5,-2.8,-4.7,-6.2,-5.9,-6.2,-5.8,-5.2,-6.6,-4.8,-5.4,-5.0,-4.9,-4.2,-4.8,-4.4,-3.5,-1.7
WSPD,3.2015621187164247,4.924428900898052,3.3286633954186473,2.4413111231467406,2.247220505424423,2.6400757564888173,2.5079872407968904,1.788854381999832,1.6278820596099708,0.8062257748298549,1.1,0.447213595499958,0.9219544457292886,2.33238075793812,2.4083189157584592,2.692582403567252,3.5693136595149495,4.6872166581031856,6.661080993352355,7.747257579298625,5.044799302251776,5.142956348249516,5.423098745182499,4.775981574503821,4.477722635447622,6.313477647065839,6.514598989960933,5.738466694161429,2.973213749463701,2.4413111231467406,2.280350850198276,2.209072203437452,2.6570660511172846,3.2202484376209237,4.393176527297759,3.4132096331752027,5.280151512977634,5.554277630799526,4.742362280551751,3.176476034853718,3.298484500494129,2.9698484809834995,3.488552708502482,3.5227829907617076,2.9410882339705484,4.876474136094644,6.45600495662759,6.57419196555744,7.119691004531026,7.592759709091287,7.144928271158501,8.10246875958186,5.162363799656123,5.474486277268398,5.000999900019995,5.069516742254631,4.427188724235731,4.947726750741193,5.011985634456668,4.360045871318328,2.1400934559032696
