,2019-12-02 06:00:00,2019-12-02 09:00:00,2019-12-02 12:00:00,2019-12-02 15:00:00,2019-12-02 18:00:00,2019-12-02 21:00:00,2019-12-03 00:00:00,2019-12-03 03:00:00,2019-12-03 06:00:00
DWPC,-4.42,-5.06,-5.46,-5.38,-4.54,-4.5,-4.77,-4.87,-5.8
HCLD,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
LCLD,98.0,96.0,74.0,33.0,17.0,0.0,0.0,0.0,0.0
MCLD,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,981.0,983.5,986.9,988.9,989.6,989.1,990.2,990.0,988.5
TMPC,-1.76,-1.86,-2.16,-0.86,1.84,1.34,-1.36,-2.06,-2.16
UWND,3.8,3.9,4.1,2.2,2.7,3.5,1.6,2.4,2.2
VWND,-6.9,-6.2,-6.2,-6.0,-3.6,-3.3,-1.9,-0.7,0.6
WSPD,7.877182237323192,7.324616030891995,7.433034373659253,6.390618123468183,4.5,4.810405388322278,2.483948469674844,2.5,2.280350850198276
