,2017-08-20 06:00:00,2017-08-20 09:00:00,2017-08-20 12:00:00,2017-08-20 15:00:00,2017-08-20 18:00:00,2017-08-20 21:00:00,2017-08-21 00:00:00,2017-08-21 03:00:00,2017-08-21 06:00:00
DWPC,17.15,16.96,17.67,21.69,22.96,22.63,23.1,21.02,20.05
HCLD,0.0,0.0,18.0,33.0,28.0,94.0,81.0,100.0,100.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
PRES,988.1,989.2,989.6,990.4,990.0,988.9,989.4,990.4,990.2
TMPC,18.44,17.94,18.64,24.74,28.74,29.74,26.84,23.44,22.14
UWND,-2.8,-2.3,-2.4,-1.8,0.2,0.2,0.1,-0.8,-0.8
VWND,1.0,1.5,1.7,3.0,2.5,2.1,1.5,2.0,3.0
WSPD,2.973213749463701,2.745906043549196,2.9410882339705484,3.4985711369071804,2.5079872407968904,2.1095023109728985,1.5033296378372907,2.154065922853802,3.104834939252005
